tittle,feature
"奶疙瘩","低胆固醇"
"杏仁露","低胆固醇"
"虱目鱼","低胆固醇"
"羊肉","低胆固醇"
"塘虱鱼","低胆固醇"
"口蘑","高钾"
"龙井茶","高钾"
"石榴花茶","高钾"
"大豆浓缩蛋白","高钾"
"姜黄粉","高钾"
"红茶","高钾"
"黄豆粉","高钾"
"杏","高钾"
"白笋","高钾"
"绿茶","高钾"
"花茶","高钾"
"刺楸","高钾"
"银耳","高钾"
"香蕉","高钾"
"铁观音茶","高钾"
"葛缕子籽","高钾"
"桂圆","高钾"
"胡椒粉","高钾"
"墨鱼","高钾"
"赤豆","高钾"
"腌龙须菜","高钾"
"咖喱粉","高钾"
"五香粉","高钾"
"鱿鱼","高钾"
"豆蔻","高钾"
"茴香籽","高钾"
"土豆粉","高钾"
"绿豆面","高钾"
"丁香粉","高钾"
"苔菜","高镁"
"湖盐","高镁"
"西瓜子","高镁"
"胡麻子","高镁"
"南瓜子","高镁"
"鲍鱼","高镁"
"黄毛籽","高镁"
"丁香鱼","高镁"
"蛏干","高镁"
"腰果","高镁"
"地衣","高镁"
"虾皮","高镁"
"芥菜干","高镁"
"荞麦","高镁"
"荞麦粉","高镁"
"土盐","高镁"
"芝麻酱","高镁"
"海米","高镁"
"香海螺","高镁"
"紫萼香茶菜","高镁"
"荞麦片","高镁"
"茶砖","高镁"
"珠茶","高镁"
"节瓜","低钠"
"旱酥梨","低钠"
"白砂糖","低钠"
"白玉米面","低钠"
"晚桃","低钠"
"福橘","低钠"
"二锅头","低钠"
"葫芦","低钠"
"黄元帅苹果","低钠"
"雪花梨","低钠"
"海棠果","低钠"
"吊蛋","低钠"
"胡麻油","低钠"
"榆钱","低钠"
"珍珠花菜","低钠"
"红富士苹果","低钠"
"京白梨","低钠"
"高山白桃","低钠"
"杨梅","低钠"
"茶油","低钠"
"南瓜","低钠"
"黄香蕉苹果","低钠"
"香梨","低钠"
"酒枣","低钠"
"红粉皮石榴","低钠"
"橘柑子","低钠"
"粳米","低钠"
"金瓜","低钠"
"苏梅梨","低钠"
"石榴","低钠"
"早橘","低钠"
"白瓜","低钠"
"佛手瓜","低钠"
"韭苔","低钠"
"蒌蒿","低钠"
"巴梨","低钠"
"软梨","低钠"
"鸭广梨","低钠"
"蒲桃","低钠"
"醋栗","低钠"
"富士苹果","低钠"
"盛宴苹果","低钠"
"史密斯奶奶苹果","低钠"
"红星苹果","低钠"
"杏子","低钠"
"黑莓","低钠"
"蓝莓","低钠"
"无花果","低钠"
"柠檬汁","低钠"
"橘汁","低钠"
"芒果","低钠"
"梨","低钠"
"覆盆子","低钠"
"苹果和蓝莓","低钠"
"红安茹梨","低钠"
"茶","低钠"
"李子干","低钠"
"石螺","高钙"
"曲拉","高钙"
"田螺","高钙"
"肉桂","高钙"
"鸡蛋粉","高钙"
"蕨菜","高钙"
"奶皮子","高钙"
"酸酪蛋","高钙"
"螺","高钙"
"豆腐干","高钙"
"切达奶酪","高钙"
"虾头酱","高钙"
"花椒","高钙"
"刺荨麻","高钙"
"素大肠","高钙"
"白米虾","高钙"
"塘水虾","高钙"
"李广杏脯","高钙"
"多春鱼","高钙"
"葡萄叶","高钙"
"羊乳酪","高钙"
"磷虾","高钙"
"胡萝卜缨","高钙"
"珍珠白蘑","高铁"
"木耳","高铁"
"青稞","高铁"
"蛏子","高铁"
"鸭血","高铁"
"河蚌","高铁"
"鸡血","高铁"
"沙鸡","高铁"
"乌骨鸡","高铁"
"秋蛤蜊","高铁"
"黑笋","高铁"
"咖喱牛肉干","高铁"
"羊血","高铁"
"藕粉","高铁"
"髯海豹肉","高铁"
"腐竹","高铁"
"牛肉干","高铁"
"毛蛤蜊","高铁"
"沙棘果汁","高铁"
"刺蛄","高铁"
"大豆分离蛋白","高铁"
"糜子米","高铁"
"生蚝","高锌"
"马肉","高锌"
"扇贝","高锌"
"泥蚶","高锌"
"赤贝","高锌"
"山羊肉","高锌"
"螺蛳","高锌"
"糌粑","高锌"
"牡蛎","高锌"
"香醋","高锌"
"酱牛肉","高锌"
"贻贝","高锌"
"鸡蛋黄粉","高锌"
"双孢蘑菇","高锌"
"大豆蛋白粉","高锌"
"琼脂","高锌"
"羊肉干","高锌"
"野生稻","高锌"
"梭子蟹","高锌"
"珍宝蟹","高锌"
"北美野牛肉","高锌"
"赤小豆","高叶酸"
"葛根","高叶酸"
"裙带菜","高叶酸"
"芦笋","高叶酸"
"藜麦","高叶酸"
"小麦粉","高叶酸"
"海带","高叶酸"
"茼蒿","高叶酸"
"黄豆芽","高叶酸"
